entity,pillar,title,url,source,date,demographics,wdl_mention,text_paragraph_1,text_paragraph_2,text_paragraph_3,has_text,is_google_link,rss_position,reach_score
Angola,Agrifood & Climate,Africa 2026 floods: How climate change and poor planning are drowning a continent,https://www.greenpeace.org/africa/en/blog/61229/africa-2026-floods-how-climate-change-and-poor-planning-are-drowning-a-continent/,greenpeace.org,10 Jul 2026,,no,"Every rainy season, the water comes for us. And every season, we call it a disaster, as if we did not watch it approach.","Since December, the floods have moved across this continent like they were following a route someone drew in advance. They started in the south. By late January, heavy rains and flooding had killed an estimated 300 people and affected close to 800,000 across Eswatini, Madagascar, Malawi, Mozambique, South Africa, Tanzania, Zambia and Zimbabwe . Mozambique took the hardest hit, with more than 723,000 people affected and over 100,000 displaced . South Africa declared a national disaster on 18 January for the floods in Limpopo and Mpumalanga, then declared another in May when a second round of storms swamped informal settlements across six provinces. Zimbabwe buried 134 people . Angola, Malawi, Zambia, Namibia, Madagascar and Botswana all counted their losses. By the end of April, the season had affected over 2.36 million people across Southern Africa .","In March, the rains reached East Africa. Flash floods tore through Nairobi and killed at least 66 people , most of them drowning or electrocuted by fallen power lines, with 10,000 households hit in the Kenyan capital alone. Now the rains have moved to West Africa. In late June, days of torrential rain killed at least a dozen people in Ghana’s capital, Accra, and around twenty more in neighbouring Côte d’Ivoire , submerging homes and roads in some of the worst urban flooding in years. Nigeria is next in line: its rainy season runs into October, and the authorities have already flagged more than 1,200 communities across 33 states as high flood-risk .",yes,no,0,10
Angola,Agrifood & Climate,Gender-responsive policy-making and budgeting | Gender,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQc3c4R1J6c19SUXJ6cUZvTXFhTmpzNGxkU0hEbzNyTkYxYTlOTjI3Y1BQdXNReTg4UTljSGtXdFFnelRpRmVUTEhSU3NFbEgwa2tUUkE3NkpUM3VVOFVwc3daVGZFTHE1MnJkTnAxb0dyN0JtWjFlMmFvaVZMV3BJNllKMndYaW0xcXlhYXVaa21oUnktWTBmV1BXQ09RdnIwTHdmRkRRaERLOG9VRG9UanN2VlJ5QnUw?oc=5,Food and Agriculture Organization,9 Jul 2026,,no,,,,no,yes,2,6
Angola,Agrifood & Climate,Meteorologists Prepare Africa for the Super El Niño event 2026/2027,https://au.int/en/newsevents/20260528/india-africa-forum-summit-iafs,African Union,8 Jul 2026,,no,Agenda 2063 is Africa’s development blueprint to achieve inclusive and sustainable socio-economic development over a 50-year period.,8 YEARS SERVING AFRICA Leading a Transformative and Impact Oriented Journey,Agenda 2063 is Africa’s development blueprint to achieve inclusive and sustainable socio-economic development over a 50-year period.,yes,no,4,6
Angola,Agrifood & Climate,Palestinian Ambassador Discusses Status of Palestinian Community Holding Travel Documents with Angolan Official,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5YbzliZVduYzdwY2hZVW50SzZ4RzNsMElCcUdlTVZDTklaTU56d0Z5cC0xTG9WVXBZZ2dCQzdad0dZSWtlNUlaLUs3VU1McTNv?oc=5,شبكة يافا الإخبارية,9 Jul 2026,,no,,,,no,yes,5,3
Angola,Agrifood & Climate,"Cameroon, Angola lead Central Africa's rice imports as ECCAS pushes for higher local production",https://millingmea.com/cameroon-angola-lead-central-africas-rice-imports-as-eccas-pushes-for-higher-local-production/,Milling Middle East & Africa,7 Jul 2026,,no,,,,no,no,6,3
Angola,Workforce & Human Capital,Angola High School (IN) Girls Basketball,https://www.maxpreps.com/news/aT5TtNXPJE6gw3znKNhmFw/girls-high-school-basketball-record-book.htm,MaxPreps,9 Jul 2026,,no,,,,no,no,1,7
Angola,Workforce & Human Capital,Hot air balloons fill Angola’s skyline,https://news.google.com/rss/articles/CBMia0FVX3lxTE1hWmxtVDFSTVI2UVFyTFJ2VUk4MDl3SmU1OFFtcE9RVlhkQnhLVTZCcm44RDRiOVJwQWhZWVFjanliUnNVMThBUWtHczN2akl6Unl2NF9ESXc3ckVhZDgzYUZERjhyZFFTZm9J?oc=5,WANE 15,10 Jul 2026,,no,,,,no,yes,2,6
Angola,Workforce & Human Capital,Catholic Parishes in Angola Urged to Turn School Holidays into Opportunities for Youth Formation,https://news.google.com/rss/articles/CBMizgFBVV95cUxNXzFtZDZORllnQV96ekpJRWo3dkNqcXFYaXVnMHFrV0pteWFodzI4NVQ0Q2VnMWRCQXN0bmtQck81TzhlX0lhejVrYTQ0dlF6X245MFJNRzFmN3FsMHREWHFOOUoxVDIxVl9QdkV5UGpsUE9jVk42S0VxeFBvQ29WOVkxWm1kMHU0WkEzQjlLUm9aTmtuWlphUmZJLUhscWpnYmJ0R0xSV3BTM1lFem04clRkbnlhbG80T3R2a3pvMVR1TzFGc25IaDNTSE5oUdIB0wFBVV95cUxNWXpob1lYeDIzWXRyMGUtN0EtdmQ2SG9EOHlTZ2pic0VtcFhYakprOHhQYTlENHM5OTBvOGFicjJoLVFGbXBDcjBTeUNEY3BURHo4ZW1fcW15REFwYUVZSk9JcUlBMHJQeDlaeWJTUFVNM0dORk5fQ0lFS1pPRUJUR3pGeS1xSXYtbWdjQkNKWm5IbjJ6Yy1Kb3B0ZGtSRFBVbnB2SlgxMkJkT2RvOVozay1iajhfRTVOU3kwRUhjd2hDcW9XRE9BVHhsRHZueGhYdlNF?oc=5,ACI Africa,9 Jul 2026,Youth,no,,,,no,yes,4,4
Angola,Workforce & Human Capital,"Former North Central High School football player killed in OWI crash, according to authorities",https://www.wtol.com/article/sports/local-sports/pioneer-community-honors-cameron-laney-with-vigil-after-fatal-crash/512-b9a95d89-7139-4292-9a31-8d7b405d860d,WTOL,6 Jul 2026,,no,,,,no,no,5,3
Angola,Workforce & Human Capital,AFRICOM and Angola conclude ACHOD 2026 conference with new Partnership,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQSFdITF9yeVdDYnBDd3dHT25NWC1hS200VEh0RjdwOWlRcllYN2RCMDB3bDdFVl9sNXZ5Q2ppMDNwT1lMZDhNam81enhpWVRUaklMMFZ4V1VKNWZURllLVTRqbW9xZUNnQnJ3YnNlTGdTeGlRWnZSOGxtS0MwSE5QYjZqTkFMbXBTYTFwaGpKVjctNG5tMGkyU3RCUW1pTmRUbUo3WDk4di1IYjQ?oc=5,Military Africa,12 Jul 2026,,no,,,,no,yes,6,3
Burundi,Jobs & Employment,"Burundi Food Security Outlook, June 2026 - January 2027: Low income, high prices, dry spells, and displacement drive need, particularly in North",https://news.google.com/rss/articles/CBMi_wFBVV95cUxPTWNyZlBUdElXTzZQdVc1NjRRanlWUmRGVE5tdnV1TVdDSExZU1MyTjNXSGQ2RTNBZTRpOFB3YW1BdEpPb1RPM3ZuQTMxamFOWEFWQWVzU05uR2kxMmVUNEQtTTB1Mlp3NUdPZnBJSU53SXY0cndtNk5MMVpDN2c5MkVBd1FNNzIwdzluVzZ4UkRiNWVQOWhDVl9iNjVKdGVURTRhdTc1dC1yb0hyRm1qWk1hdU9sT0Z2bWU5aFh2WkM2Vk5nUGE5SVlPY3gzTkpBNmI1NEQ3UEFEOEpsRDN5WDRvNndyTFlSbGgtcEkxRkhCak83X3JKLXVoWW50SkU?oc=5,ReliefWeb,13 Jul 2026,,no,,,,no,yes,0,8
Burundi,Jobs & Employment,"Africa's richest man's refinery to move ahead on Kenyan coast, says President Ruto",https://www.trtafrika.com:443/english/article/aaa583467e62,TRT Afrika,11 Jul 2026,,no,,,,no,no,1,7
